Nr;Zuwendungsempfänger;Projektbezeichnung;Fördersumme nach Jahr und Gesamt;Gesamtförder- zeitraum;Programmbereich
219;Deutsches Kinderhilfswerk e.V.;Kompetenznetzwerk Frühkindliche Bildung und Bildung in der Primarstufe / Deutsches Kinderhilfswerk (DKHW);2023: 579.091,03 € 2024: 427.826,66 € Gesamt: 1.006.917,69 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
220;Dialog macht Schule gGmbH;Kompetenznetzwerk Schulische und außerschulische Bildung im Jugendalter / Dialog macht Schule;2023: 560.624,82 € 2024: 495.000,00 € Gesamt: 1.055.624,82 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
221;Dokumentations- und Kulturzentrum Deutscher Sinti und Roma e.V.;Kompetenzzentrum Antiziganismus/ Dokumentations- und Kulturzentrum Deutscher Sinti und Roma;2023: 480.626,49 € 2024: 496.112,99 € Gesamt: 976.739,48 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
222;Each One Teach One (Eoto) e.V.;Kompetenzzentrum Rassismus gegen Schwarze Menschen / EOTO;2023: 577.059,53 € 2024: 573.369,61 € Gesamt: 1.150.429,14 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
223;Evangelische Akademie zu Berlin;Kompetenznetzwerk Antiziganismus / Evangelische Akademie zu Berlin;2023: 321.446,22 € 2024: 387.654,63 € Gesamt: 709.100,85 €;15.09.2022 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
224;Familien- und Sozialverein des Lesben- und Schwulenverbandes in Deutschland (LSVD) e.V.;Kompetenznetzwerk Homosexuellen- und Transfeindlichkeit / LSVD;2023: 495.002,46 € 2024: 470.948,53 € Gesamt: 965.950,99 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
225;Gegen Vergessen - Für Demokratie e.V.;Kompetenznetzwerk Zusammenleben in der Einwanderungsgesellschaft / Gegen Vergessen - Für Demokratie e.V.;2023: 597.943,19 € 2024: 599.112,00 € Gesamt: 1.197.055,19 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
226;Gemeinnütziges Bildungswerk des Deutschen Gewerkschaftsbundes;Kompetenznetzwerk Berufliche Bildung, Ausbildung (inkl. Übergangssystem) / DGB Bildungswerk BUND;2023: 524.595,37 € 2024: 514.147,64 € Gesamt: 1.038.743,01 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
227;Georg-August-Universität Göttingen;Kompetenzzentrum Linker Extremismus / GIFD;2023: 489.456,48 € 2024: 511.992,76 € Gesamt: 1.001.449,24 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
228;Gesellschaft für Medienpädagogik und Kommunikationskultur in Deutschland e.V. (GMK);Kompetenznetzwerk Hass im Netz - GMK;2023: 313.020,94 € 2024: 275.771,78 € Gesamt: 588.792,72 €;01.01.2023 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
229;Gesicht Zeigen! Für ein weltoffenes Deutschland e.V.;Kompetenznetzwerk Rechtsextremismus Gesicht Zeigen!;2023: 429.500,00 € 2024: 427.500,00 € Gesamt: 857.000,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
230;HateAid gGmbH;"Kompetenznetzwerk ""Hass im Netz"" / HateAid gGmbH";2023: 696.405,07 € 2024: 677.966,53 € Gesamt: 1.374.371,60 €;01.09.2021 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
231;Initiative Schwarze Menschen in Deutschland (ISD-Bund);Kompetenznetzwerk Rassismus gegen Schwarze Menschen / ISD;2023: 561.598,74 € 2024: 469.092,71 € Gesamt: 1.030.691,45 €;01.08.2021 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
232;Internationale Akademie Berlin für innovative Pädagogik, Psychologie und Ökonomie gGmbH (INA);Kompetenznetzwerk Frühkindliche Bildung und Bildung in der Primarstufe/ ISTA;2023: 600.000,00 € 2024: 600.000,00 € Gesamt: 1.200.000,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
233;Jugendbildungsstätte Bremen Lidice-Haus Gemeinnützige Gesellschaft mit beschränkter Haftung;Kompetenznetzwerk Rechtsextremismus/ LidiceHaus Jugendbildungsstätte Bremen / Fachstelle Rechtsextremismus und Familie;2023: 260.304,52 € 2024: 263.358,74 € Gesamt: 523.663,26 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
234;KIgA e.V. Kompetenznetzwerk KIgA;Antisemitismus / e.V.;2023: 502.097,22 € 2024: 752.100,00 € Gesamt: 1.254.197,22 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
235;LPR-Trägergesellschaft für jugendschutz.net gGmbH;"Kompetenzzentrum ""Hass im Netz"" / jugendschutz.net";2023: 201.757,35 € 2024: 246.688,97 € Gesamt: 448.446,32 €;01.01.2023 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
236;Mach meinen Kumpel nicht an! - für Gleichbehandlung, gegen Rassismus e.V.;Kompetenznetzwerk Berufliche Bildung, Ausbildung (inkl. Übergangssystem). Mach' meinen Kumpel nicht an! - für Gleichbehandlung, gegen Fremdenfeindlichkeit und Rassismus e.V.;2023: 258.239,46 € 2024: 258.165,46 € Gesamt: 516.404,92 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
237;Minor - Projektkontor für Bildung und Forschung gemeinnützige GmbH;Kompetenznetzwerk Berufliche Bildung, Ausbildung (inkl. Übergangssystem) / Minor - Projektkontor für Bildung und Forschung gemeinnützige GmbH;2023: 389.888,62 € 2024: 395.069,05 € Gesamt: 784.957,67 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
238;Netzwerk für Demokratie und Courage e.V.;Kompetenznetzwerk Schulische und außerschulische Bildung im Jugendalter / NDC;2023: 657.206,00 € 2024: 600.000,00 € Gesamt: 1.257.206,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
239;Neue deutsche Medienmacher*innen e.V.;Kompetenznetzwerk 'Hass im Netz' / Neue deutsche Medienmacher*innen;2023: 472.816,10 € 2024: 545.523,64 € Gesamt: 1.018.339,74 €;01.09.2021 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
240;neue deutsche organisationen e. V.;Kompetenznetzwerk Zusammenleben in der Einwanderungsgesellschaft / neue deutsche organisationen e.V.;2023: 582.858,06 € 2024: 495.000,00 € Gesamt: 1.077.858,06 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
241;Regionale Arbeitsstellen für Bildung, Integration und Demokratie (RAA) e.V.;Kompetenznetzwerk Antidiskriminierung und Diversitätsgestaltung/ RAA Berlin;2023: 435.287,37 € 2024: 429.773,71 € Gesamt: 865.061,08 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
242;Schwarzkopf-Stiftung Junges Europa;Kompetenznetzwerk Zusammenleben in der Einwanderungsgesellschaft / Schwarzkopf-Stiftung Junges Europa;2023: 600.000,00 € 2024: 550.000,00 € Gesamt: 1.150.000,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
243;Stiftung Akademie Waldschlösschen;Kompetenznetzwerk Homosexuellen- und Transfeindlichkeit / AWS;2023: 546.185,28 € 2024: 382.405,00 € Gesamt: 928.590,28 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
244;Teilseiend e.V.;Islam- und Muslimfeindlichkeit / Teilseiend e.V. - CLAIM;2023: 599.500,00 € 2024: 600.000,00 € Gesamt: 1.199.500,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
245;TGD-Türkische Gemeinde in Deutschland-Almanya Türk Toplumu e.V.;Kompetenznetzwerk Zusammenleben in der Einwanderungsgesellschaft / Türkische Gemeinde in Deutschland;2023: 594.132,73 € 2024: 590.936,01 € Gesamt: 1.185.068,74 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
246;Ufuq e.V.;Kompetentnetzwerk Islamistischer Extremismus / Ufuq e.V.;2023: 514.659,93 € 2024: 563.255,78 € Gesamt: 1.077.915,71 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
247;Verband binationaler Familien und Partnerschaften, iaf;Kompetenznetzwerk Islam- und Muslimfeindlichkeit / Verband binationaler Familien;2023: 598.816,85 € 2024: 385.002,00 € Gesamt: 983.818,85 €;01.01.2022 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
248;Violence Prevention Network gGmbH;Kompetenznetzwerk Islamistischer Extremismus / Violence Prevention Network;2023: 594.000,00 € 2024: 600.000,00 € Gesamt: 1.194.000,00 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
249;Zentralrat der afrikanischen Gemeinde in Deutschland e.V.;Kompetenznetzwerk Rassismus gegen Schwarze Menschen / ZAGD;2023: 538.265,55 € 2024: 0,00 € Gesamt: 538.265,55 €;01.08.2021 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
250;Zentralwohlfahrtsstelle der Juden in Deutschland;Kompetenznetzwerk Antisemitismus /Kompetenzzentrum für Prävention und Emowerment (ZWST);2023: 600.000,00 € 2024: 661.684,58 € Gesamt: 1.261.684,58 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
251;Zentrum für Europäische und Orientalische Kultur e.V.;Kompetenznetzwerk Islam- und Muslimfeindlichkeit / ZEOK e. V.;2023: 597.024,84 € 2024: 600.000,00 € Gesamt: 1.197.024,84 €;01.01.2020 - 31.12.2024;Kompetenzzentren und Kompetenznetzwerke
252;Bayerisches Staatsministerium für Familie, Arbeit und Soziales;Landesdemokratiezentrum Bayern;2023: 2.725.853,57 € 2024: 2.727.100,48 € Gesamt: 5.452.954,05 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
253;Behörde für Arbeit, Gesundheit, Soziales, Familie und Integration;Landesdemokratiezentrum Hamburg;2023: 1.638.687,69 € 2024: 1.941.262,87 € Gesamt: 3.579.950,56 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
254;Die Senatorin für Arbeit, Soziales, Jugend und Integration;Landesdemokratiezentrum Bremen;2023: 1.478.126,07 € 2024: 1.478.126,07 € Gesamt: 2.956.252,14 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
255;Hessisches Ministerium des Innern und für Sport;Landesdemokratiezentrum Hessen;2023: 2.230.966,70 € 2024: 2.229.524,51 € Gesamt: 4.460.491,21 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
256;Landesamt für Soziales, Jugend und Versorgung;Landesdemokratiezentrum Rheinland- Pfalz;2023: 1.741.276,00 € 2024: 1.820.000,00 € Gesamt: 3.561.276,00 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
257;Landeszentrale für politische Bildung NRW im Ministerium für Kultur und Wissenschaft NRW;Landesdemokratiezentrum Nordrhein- Westfalen;2023: 2.771.287,84 € 2024: 3.191.287,84 € Gesamt: 5.962.575,68 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
258;Ministerium für Arbeit, Soziales, Frauen und Gesundheit;Landesdemokratiezentrum Saarland;2023: 1.470.654,68 € 2024: 1.468.336,98 € Gesamt: 2.938.991,66 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
259;Ministerium für Arbeit, Soziales, Gesundheit und Gleichstellung;Landesdemokratiezentrum Sachsen- Anhalt;2023: 1.632.536,68 € 2024: 1.976.474,08 € Gesamt: 3.609.010,76 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
260;Ministerium für Inneres, Kommunales, Wohnen und Sport des Landes Schleswig-Holstein;Landesdemokratiezentrum Schleswig- Holstein;2023: 1.698.937,77 € 2024: 1.611.931,23 € Gesamt: 3.310.869,00 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
261;Ministerium für Soziales, Gesundheit und Integration Baden-Württemberg;Landesdemokratiezentrum Baden- Württemberg;2023: 2.547.528,50 € 2024: 2.497.528,50 € Gesamt: 5.045.057,00 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
262;Ministerium für Wissenschaft, Kultur, Bundes- und Europaangelegenheiten Mecklenburg-Vorpommern;Landesdemokratiezentrum Mecklenburg- Vorpommern;2023: 1.586.357,80 € 2024: 1.586.357,80 € Gesamt: 3.172.715,60 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
263;Niedersächsisches Justizministerium;Landesdemokratiezentrum Niedersachsen;2023: 2.203.750,00 € 2024: 2.210.050,00 € Gesamt: 4.413.800,00 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
264;Sächsisches Staatsministerium für Soziales und Gesellschaftlichen Zusammenhalt;Landesdemokratiezentrum Sachsen;2023: 1.752.809,32 € 2024: 1.838.494,72 € Gesamt: 3.591.304,04 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
265;Senatsverwaltung für Arbeit, Soziales, Gleichstellung, Integration, Vielfalt und Antidiskriminierung;Landesdemokratiezentrum Berlin;2023: 1.851.553,36 € 2024: 1.851.553,36 € Gesamt: 3.703.106,72 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
266;Staatskanzlei des Landes Brandenburg;Landesdemokratiezentrum Brandenburg;2023: 1.752.509,08 € 2024: 1.752.509,08 € Gesamt: 3.505.018,16 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
267;Thüringer Ministerium für Bildung, Jugend und Sport;Landesdemokratiezentrum Thüringen;2023: 1.641.097,01 € 2024: 1.641.097,01 € Gesamt: 3.282.194,02 €;01.01.2020 - 31.12.2024;Landesdemokratiezentren
268;Altmarkkreis Salzwedel;Altmarkkreis Salzwedel;2023: 116.527,50 € 2024: 116.527,50 € Gesamt: 233.055,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
269;Amt Krakow am See;Amtsgebiet Krakow am See (insgesamt 5 Gemeinden) und das Amtsgebiet Mecklenburgische Schweiz (15 Gemeinden). Beide Ämter haben zusammen eine Fläche von 741,73 qkm.;2023: 183.300,00 € 2024: 183.300,00 € Gesamt: 366.600,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
270;Amt Löcknitz-Penkun;Amt Löcknitz-Penkun, Amt Torgelow- Ferdinandshof, Amt Am Stettiner Haff, StadtUeckermünde, Stadt Strasburg (UM);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
271;Bezirksamt Altona / Fachamt Sozialraummanagement;Bezirk Altona ohne die Stadtteile Rissen und Sülldorf;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
272;Bezirksamt Berlin-Mitte;Wedding/Gesundbrunnen, Brunnenstraße/Süd;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
273;Bezirksamt Berlin-Mitte;Moabit;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
274;Bezirksamt Charlottenburg- Wilmersdorf von Berlin;Bezirk Charlottenburg-Wilmersdorf von Berlin - Ohne die Bezirksregionen Mierendorffplatz und Charlottenburg-Nord;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
275;Bezirksamt Charlottenburg- Wilmersdorf von Berlin;Charlottenburger Norden: Bezirksregionen Mierendorffplatz (043005) und Charlottenburg-Nord (041001);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
276;Bezirksamt Hamburg - Mitte;Hamburg-Mitte (Wilhelmsburg);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
277;Bezirksamt Lichtenberg von Berlin;Hohenschönhausen (Stadtteile 1-5);2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
278;Bezirksamt Lichtenberg von Berlin;Lichtenberg (Stadtteile 6-13);2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
279;Bezirksamt Mitte von Berlin;Berlin-Zentrum;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
280;Bezirksamt Neukölln von Berlin;Berlin - Neukölln von Berlin;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
281;Bezirksamt Pankow von Berlin;Pankow Nord (Bezirksregionen: 1 Buch, 2 Blankenfelde/Niederschönhausen, 3 Buchholz, 4 Karow, 5 Schönholz/Wilhelmsruh/Rosenthal, 6 Pankow Zentrum, 7 Blankenburg/Heinersdorf/Märchenland, 8 Pankow Süd);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
282;Bezirksamt Pankow von Berlin;Pankow Süd (Bezirksregionen: 9 Weißensee, 10 Weißensee Ost, 11 Prenzlauer Berg Nordwest, 12 Prenzlauer Berg Nord, 13 Helmholtzplatz, 14 Prenzlauer Berg Ost, 15 Prenzlauer Berg Südwest, 16 Prenzlauer Berg Süd);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
283;Bezirksamt Pankow von Berlin;Pankow Ost: Bezirksregionen X Weißensee Ost, 05 Heinersdorf / Märchenland (PLR 16, PLR 17);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
284;Bezirksamt Reinickendorf von Berlin;Bezirk Reinickendorf;2023: 144.000,00 € 2024: 144.000,00 € Gesamt: 288.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
285;Bezirksamt Spandau von Berlin;Bezirk Spandau von Berlin;2023: 125.000,00 € 2024: 160.000,00 € Gesamt: 285.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
286;Bezirksamt Spandau von Berlin;Berlin Spandau Nord (Falkenhagener Feld, Hakenfelde, Haselhorst, Siemensstadt);2023: 125.000,00 € 2024: 160.000,00 € Gesamt: 285.000,00 €;01.10.2022- 31.12.2024;Partnerschaften für Demokratie
287;Bezirksamt Steglitz-Zehlendorf;Bezirk Steglitz-Zehlendorf;2023: 135.000,00 € 2024: 135.000,00 € Gesamt: 270.000,00 €;01.03.2023 - 31.12.2024;Partnerschaften für Demokratie
288;Bezirksamt Tempelhof- Schöneberg von Berlin;Bezirk Tempelhof-Schöneberg von Berlin;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
289;Bezirksamt Treptow-Köpenick;Treptow-Köpenick;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
290;Bezirksamt Treptow-Köpenick;Schöneweide;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
291;Bezirksamt Treptow-Köpenick von Berlin;Altglienicke;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
292;Burgenlandkreis;Burgenlandkreis;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
293;Freie Hansestadt Bremen Stadtgemeinde Bremen;Stadtgemeinde Bremen Mitte, Östliche Vorstadt, Findorff;2023: 160.000,00 € 2024: 175.000,00 € Gesamt: 335.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
294;Freie Hansestadt Bremen Stadtgemeinde Bremen;Bremen Nord;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
295;Freie und Hansestadt Hamburg;Hamburg-Wandsbek;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
296;Freie und Hansestadt Hamburg;Hamburg-Harburg;2023: 124.200,00 € 2024: 124.200,00 € Gesamt: 248.400,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
297;Freie und Hansestadt Hamburg;Süderelbe (Neugraben- Fischbek/Neuwiedenthal/ Cranz- Neuenfelde/Moorburg);2023: 124.200,00 € 2024: 124.200,00 € Gesamt: 248.400,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
298;Freie und Hansestadt Hamburg;Hamburg-Mitte (St.Georg/Hamm/Borgfelde);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
299;Freie und Hansestadt Hamburg;Hamburg-Mitte (Billstedt - Mümmelmannsberg);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
300;Freie und Hansestadt Hamburg, vertreten durch das Bezirksamt Altona;Rissen/Sülldorf im Bezirk Altona;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
301;Gemeinde Elz und Stadt Hadamar in Kooperation;Stadt Hadamar und Gemeinde Elz;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
302;Gemeinde Isernhagen;Gemeinde Isernhagen;2023: 146.880,00 € 2024: 153.900,00 € Gesamt: 300.780,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
303;Gemeinde Karlsfeld;Gemeinde Karlsfeld (innerhalb des Landkreises Dachau);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2023 - 31.12.2024;Partnerschaften für Demokratie
304;Gemeinde Löhnberg;Gemeinde Löhnberg - Marktflecken Merenberg - Stadt Weilburg;2023: 160.000,00 € 2024: 125.000,00 € Gesamt: 285.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
305;Gemeinde Sylt;Insel Sylt;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.08.2022 - 31.12.2024;Partnerschaften für Demokratie
306;Gemeinde Weissach im Tal;Weissach im Tal, Allmersbach am Tal, Auenwald und Althütte;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
307;Große Kreisstadt Aue-Bad Schlema;Große Kreisstadt Aue-Bad Schlema, Lößnitz und Schneeberg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
308;Große Kreisstadt Eilenburg;Stadt Eilenburg, Stadt Bad Düben, Gemeinde Laußig;2023: 113.220,00 € 2024: 116.640,00 € Gesamt: 229.860,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
309;Große Kreisstadt Herrenberg;Stadt Herrenberg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
310;Große Kreisstadt Schorndorf;Stadt Schorndorf und die Gemeinde Urbach;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.02.2023 - 31.12.2024;Partnerschaften für Demokratie
311;Große Kreisstadt Sebnitz;Große Kreisstadt Sebnitz;2023: 119.250,00 € 2024: 121.050,00 € Gesamt: 240.300,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
312;Große Kreisstadt Weißwasser/O.L.;Stadt Weißwasser/O.L.;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
313;Große Kreisstadt Zittau;Große Kreisstadt Zittau;2023: 144.000,00 € 2024: 160.000,00 € Gesamt: 304.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
314;Hanse- und Universitätsstadt Rostock;Hansestadt Rostock;2023: 165.000,00 € 2024: 220.000,00 € Gesamt: 385.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
315;Hansestadt Anklam;Hansestadt Anklam in Kooperation mit dem Amt Anklam-Land;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
316;Hansestadt Demmin;Hansestadt Demmin;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2023 - 31.12.2024;Partnerschaften für Demokratie
317;Hansestadt Herford;Stadt Herford;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
318;Hansestadt Lübeck;Hansestadt Lübeck;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
319;Hansestadt Lüneburg;Hansestadt Lüneburg;2023: 111.600,00 € 2024: 112.500,00 € Gesamt: 224.100,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
320;Hansestadt Stendal;Hansestadt Stendal, inkl. der Ortsteile Bindfelde, Borstel, Buchholz, Dahlen, Groß Schwechten, Heeren, Insel, Jarchau, Möhrigen, Nahrstedt, Staats, Staffelde, Uchtspringe, Uenglingen, Vinzelberg, Volgfelde, Wahrburg, Wittenmoor;2023: 160.000,00 € 2024: 170.235,42 € Gesamt: 330.235,42 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
321;Hansestadt Warburg;Hansestadt Warburg;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2023- 31.12.2024;Partnerschaften für Demokratie
322;Hansestadt Wismar;Hansestadt Wismar;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
323;Klingenstadt Solingen;Stadt Solingen;2023: 160.000,00 € 2024: 200.000,00 € Gesamt: 360.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
324;Kommunaler Zusammenschluss der Stadt Marlow und des Amtes Recknitz-Trebeltal;Stadt Marlow und Amt Recknitz-Trebeltal;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
325;Kreis Dithmarschen;Kreis Dithmarschen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
326;Kreis Herzogtum Lauenburg;Kreis Herzogtum Lauenburg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
327;Kreis Lippe;Kreis Lippe;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
